Comments Text,Feelings Text,Emotions Text,Context Text,Feelings Value,Emotions Value,Context Value
🦋🦋🦋❤️,Positive,Loving,Socialist,3,5,5
Pdhane do didi ! 😫 Semester exam chl rhe hai !,Negative,Sarcasm,Socialist,1,8,5
@dishapatani 🔥🔥🔥👈,Positive,Compliment,Socialist,3,2,5
@dishapatani u are always fabulous ❤️,Positive,Compliment,Socialist,3,2,5
@dishapatani mbd radisson blu delhi..,Neutral,Information,Socialist,2,3,5
"@buwonbem How could she ruin ur exam, when she is your didi...?! (Doesn't didi mean sister?)",Negative,Judging,Socialist,1,4,5
@buwonbem krlo padhai fir Mai hu na,Negative,Information,Socialist,1,3,5
Makeup ki dukan,Negative,Judging,Critic,1,4,1
@vandanakumari818 if she is makeup ki dukan thn check my post once😂😂😂,Negative,Sarcasm,Critic,1,8,1
@scoobyscheacty mam disha national crush h to jada makeup kregi na aise bhi wo makeup ka add kr rhi h to hui na makeup ki dukan,Negative,Judging,Critic,1,4,1
Didi gir gayi Didi gir gayi 😱😱,Negative,Sarcasm,Socialist,1,8,5
Thank you so much mam.. for meeting us😍😍😍 it was such a dream come true moment for us... no one is humble as you... You truly won our heart once again... 😘😘😘Love you a lot lot❤️,Positive,Loving,Socialist,3,5,5
Why always this kind of clothes Di........?,Negative,Judging,Socialist,1,4,5
Hamara 10th hai😥..... Pls let us concentrate 🙇😹,Negative,Sarcasm,Socialist,1,8,5
please don't judge anyone with clothes please😇😇,Positive,Information,Socialist,3,3,5
@_panda_loverrr_ kyonki movies ni hai or fame toh chahiye,Negative,Judging,Critic,1,4,1
@_panda_loverrr_ didi Ko kch ar Ni aata iske alawa,Negative,Judging,Critic,1,4,1
She could afford a 5 star hotel..but she sits on floor! Simplycity level : 💯,Negative,Sarcasm,Socialist,1,8,5
Hotiiiii🔥🔥😍😍😍⚡⚡⚡⚡⚡⚡⚡⚡,Neutral,Loving,Socialist,2,5,5
Pocha lagane wala pose😂😂,Negative,Judging,Socialist,1,4,5
Side se bhi pocha lga dena didi,Negative,Judging,Socialist,1,4,5
@wtfjanvi 1lakh legi kone m poscha lagane k liye 😂,Negative,Judging,Socialist,1,4,5
ou and tiger sir both looking stunning and cute jaldi shadi kar lo aap,Positive,Judging,Socialist,3,4,5
looking very fab in the dress,Positive,Compliment,Socialist,3,2,5
Baby marvake manegi 🔥🔥🔥🔥,Negative,Sarcasm,Sexual,1,8,4
@mayur_sonawale focus karna mushkil kar diya 😂🤣😂,Negative,Rude,Sexual,1,7,4
Beauty ♥️,Positive,Loving,Socialist,3,5,5
😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😙😙😙😙😙😙😙😙😙😙😙😙😙😙😙😙😙😙😙😙😙😙😙😙😙😙😙😙😙😙😙😙😙😙😙😙 i luv uuuuuuuuuuuuuuuuuu,Neutral,Loving,Socialist,2,5,5
Pdhane to nhi degi tu kisi ko😂😂,Negative,Sarcasm,Socialist,1,8,5
Toh shaadi pakki samze? @dishapatani,Negative,Sarcasm,Socialist,1,8,5
Hotel main room nai mila kya ? 😂😂,Negative,Sarcasm,Socialist,1,8,5
Didi ka pair fisal gaya.,Negative,Sarcasm,Socialist,1,8,5
@papa_escobar_ aur Mera paani nikal gaya,Negative,Abusive,Socialist,1,1,5
God bless u beta,Positive,Loving,Socialist,3,5,5
Stunning!,Positive,Loving,Socialist,3,5,5
❤️❤️❤️❤️❤️❤️,Positive,Loving,Socialist,3,5,5
Zyada makeup ke chakkar mein kharab kr lo apne aap ko,Negative,Judging,Critic,1,4,1
So gorgeous 💙,Positive,Compliment,Socialist,3,2,5
cleavege,Negative,Objectify,Sexual,1,6,4
Bachpan ki hoodie pehni hai?,Negative,Judging,Socialist,1,4,5
👏👏👏👏⚡️⚡️⚡️⚡️⚡️🔥🔥🔥🔥🔥🔥,Positive,Compliment,Socialist,3,2,5
Didi padhne do na kl exam hai,Negative,Sarcasm,Socialist,1,8,5
Killing it!!!!🔥🌪,Positive,Compliment,Socialist,3,2,5
"#unfollowdishapatani trend.how could someone become so immature? The superstars don't understand that millions of people follow their path, and where will they end humanity and morality? People like this just post such contents to entertain the people and make fun of their own just to get some followers on social media. #fakepeople#fakefollowers",Negative,Judging,Critic,1,4,1
Ap pornstar q Ni bnjati,Negative,Abusive,Sexual,1,1,4
@_black_heart_princess_ didi baaz nahi aayegi,Negative,Abusive,Sexist,1,1,3
@iamtnmaysnghh_ bhai ye na sudhregi...,Negative,Abusive,Sexist,1,1,3
So nice but thoda short h,Negative,Objectify,Socialist,1,6,5
Bawal 🔥🔥🔥🔥🔥🔥🔥,Negative,Objectify,Sexist,1,6,3
Omg!! 🔥🔥,Positive,Compliment,Socialist,3,2,5
Exam hai mera plzz ruk jao bahan 😪,Negative,Sarcasm,Socialist,1,8,5
Under Garments dikhane ke alawa aur kuch kam nhi h kia. iske pass,Negative,Objectify,Sexist,1,6,3
Itne bade kaisse.......tiger bhai ke haat ka kamaaalll🤩🤩🤩😍😍🤣🤣🤣😂😅🙌😆😆😆,Negative,Abusive,Sexual,1,1,4
Yr beauty vanishes in such dress#u r angel #no need to show ur body like d grade actress,Negative,Objectify,Sexist,1,6,3
Aap pornstar ban jau,Negative,Objectify,Sexist,1,6,3
Koi kpde do yr madem ko purra youth bigad rkha hai😡😡😡,Negative,Judging,Critic,1,4,1
Thodi aur pant utaar lo mood bn jaae,Negative,Objectify,Sexual,1,6,4
Eagerly Waiting for her holi's pic 😍😍😍😉,Negative,Objectify,Sexual,1,6,4
Mast maal hai,Negative,Objectify,Sexist,1,6,3
Perfect call girl 😬,Negative,Abusive,Sexist,1,1,3
yr mutu mardu kya,Negative,Abusive,Sexual,1,1,4
ki karwake manegi...,Negative,Abusive,Sexual,1,1,4
@dishapatani @tigerjackieshroff u both look elegant as a team & I wanna see u as a couple,Positive,Compliment,Socialist,3,2,5
Isey bhi utar lo,Negative,Objectify,Sexual,1,6,4
Maar hi dalogi,Negative,Objectify,Sexual,1,6,4
Aap ko lagi toh nahi. Jab Aap Heaven se Giri,Positive,Compliment,Socialist,3,2,5
Aaaaa,Negative,Abusive,Sexual,1,1,4
@saud5683 @Mutayyab420 @shivang598 @Ranask35 @milkygaay @Aapaawaambaa @thetanmay @INCIndia Haa jaise tum bhi abhi p\xe2\x80\xa6 https://t.co/wZmXZPIMTD,Neutral,Information,Socialist,2,3,5
"Banti hai empowered woman, feminism pe gyan pelti hai aur din bhar roti rehti hai. Pahle rona band kar madarchod!",Negative,Abusive,Sexist,1,1,3
RT @kim_jong_korea: @updatingwait @Acutereply Ab usko chhod mjse bat kr tera baap aa gya hai ab to ldki ko beech me q la ra hai Madarchod t\xe2\x80\xa6,Negative,Abusive,Sexist,1,1,3
"@InviSibleSold @mabkhan86 @dridadahn Punjab in madarchodon ko Khila raha hai, nokrian day raha hai aur yeh imran ma\xe2\x80\xa6 https://t.co/fxaRgyKZXF",Negative,Abusive,Racist,1,1,2
RT @MrMonsterSaid: Agar koi bole ki ja ke chill maar to madarchod ki gand maar lene ka.,Negative,Abusive,Socialist,1,1,5
@InviSibleSold @mabkhan86 @dridadahn Main jutt Punjabi hoon aur paka N league. Madarchod Imran ki Punjab say nafrat clear hai.,Negative,Abusive,Racist,1,1,2
@adn_merry To Bhosdike tere Baap ka kya ja raha hai? tu Apna Ghar dekh na Madarchod,Negative,Abusive,Socialist,1,1,5
@updatingwait @Acutereply SUNNY LEONE BANA KE CHODEGE\nTERI MAA KO\nSAMJH ME AAYA \nMADARCHOD NEEM KA PATTA KADVA HAI\xe2\x80\xa6 https://t.co/tsrMfs26rp,Negative,Abusive,Sexual,1,1,4
@akramtyagi @BSF_India @rajnathsingh @Uppolice @moradabadpolice @myogiadityanath Pata nahi aise sanghi kutte ko bha\xe2\x80\xa6 https://t.co/n2PLeOgW0v,Negative,Abusive,Racist,1,1,2
"RT @AnshKSpeaks: Screw the law of the land. If I find this chutiya Madarchod Mulla I will Lynch him, murder him, cut into millions of pieces and Ha\xe2\x80\xa6",Negative,Abusive,Racist,1,1,2
A boy donated blood to his gf !\n\nTwo months later they broke up ?\n\nBoy- mujhe mera khoon lauta de !! \n\nGirl- (throw\xe2\x80\xa6 https://t.co/0Ik5oBqSDb,Neutral,Information,Socialist,2,3,5
@SHARIQSAM @imjadeja @RoflGandhi_ Bc madarchod South Africa England main @imjadeja Man of the match award le chuke\xe2\x80\xa6 https://t.co/hGTCrbEDPB,Negative,Abusive,Socialist,1,1,5
"@INCIndia Madarchod congresi or Bjp dono ki sarkar bani baad me wade bhul gye"" Rajasthan me hamri City tak singal\xe2\x80\xa6 https://t.co/4LCITdwiVc",Negative,Abusive,Critic,1,1,1
Madarchod socialify wale log \xf0\x9f\x98\xa1,Negative,Abusive,Socialist,1,1,5
@abdullah_lagh @MehrTarar Madarchod kya hai yeh,Negative,Abusive,Socialist,1,1,5
"@Acutereply @updatingwait [12/12, 13:23] : SUNNY LEONE BANA KE CHODEGE\nTERI MAA KO\nSAMJH ME AAYA \nMADARCHOD\n[12/12,\xe2\x80\xa6 https://t.co/YgvC2u0qYK",Negative,Abusive,Sexual,1,1,4
RT @ISMATKH01427041: @ShankhNaad @PetaIndia @ChouhanShivraj Kis madarchod ki he giri hui harkt,Negative,Abusive,Socialist,1,1,5
@m_sukhwal @aajtak Teri maa Behan ko har rooj chood rahe hai tum khayal rakho .warnna aise hi chudawati rahati hai madarchod.,Negative,Abusive,Sexual,1,1,4
@BhaiyyaSexy @SatyaSibaSabat1 @taran_adarsh Deewar superhit nai aaj ke time ke hisaab se ATBB hai chutye dont compa\xe2\x80\xa6 https://t.co/52ENgEeb67,Negative,Abusive,Socialist,1,1,5
